학교명,학교급구분,설립형태,교육지원청명,위도,경도
서울마천초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49550545,127.1526295
서울잠일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.51474166,127.0816362
서울명신초등학교,초등학교,공립,서울특별시중부교육지원청,37.58146865,127.0146229
서울서원초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.5024389,127.0146195
서울위례솔초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48663746,127.1509109
서울영화초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50914588,126.9336276
서울자곡초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.47219072,127.0996665
서울한남초등학교,초등학교,공립,서울특별시중부교육지원청,37.53920365,127.0055998
서울공진초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55780477,126.8226104
서울신성초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.47200331,126.9367542
서울논현초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.5084232,127.0262229
서울구룡초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48119739,127.0517714
서울독립문초등학교,초등학교,공립,서울특별시중부교육지원청,37.57421553,126.9599722
서울신내초등학교,초등학교,공립,서울특별시동부교육지원청,37.60493422,127.1001285
서울중곡초등학교,초등학교,공립,서울특별시동부교육지원청,37.57489173,127.083439
서울전농초등학교,초등학교,공립,서울특별시동부교육지원청,37.57473031,127.0543331
서울잠실초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.52010753,127.1113114
서울신곡초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53909546,126.8560096
서울불광초등학교,초등학교,공립,서울특별시서부교육지원청,37.61342945,126.9307187
상명대학교사범대학부속초등학교,초등학교,사립,서울특별시중부교육지원청,37.60044056,126.9567149
서울면동초등학교,초등학교,공립,서울특별시동부교육지원청,37.58535152,127.0865922
서울영도초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53596257,126.871927
서울가동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49741227,127.1300159
서울미래초등학교,초등학교,공립,서울특별시남부교육지원청,37.50510665,126.8880137
서울월촌초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54069543,126.876258
서울은정초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51112797,126.8670434
서울오금초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50886634,127.1323312
서울신길초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.51087166,126.9267292
서울대곡초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49471064,127.0650265
서울오륜초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.51242411,127.1345763
서울개명초등학교,초등학교,공립,서울특별시남부교육지원청,37.48303904,126.8509791
서울신강초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52584419,126.8422639
서울가산초등학교,초등학교,공립,서울특별시남부교육지원청,37.47816515,126.8963297
서울정곡초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.57695491,126.8189328
서울원묵초등학교,초등학교,공립,서울특별시동부교육지원청,37.61774881,127.0868142
서울장평초등학교,초등학교,공립,서울특별시동부교육지원청,37.57399502,127.073891
서울안천초등학교,초등학교,공립,서울특별시남부교육지원청,37.45874564,126.88839
서울대진초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49701211,127.0780425
서울가주초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49656722,127.1292617
서울염경초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55500067,126.8712046
서울개웅초등학교,초등학교,공립,서울특별시남부교육지원청,37.48857132,126.8499823
서울연촌초등학교,초등학교,공립,서울특별시북부교육지원청,37.63548118,127.0734648
서울잠전초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50733791,127.0838499
서울교육대학교부설초등학교,초등학교,국립,서울특별시강남서초교육지원청,37.49074049,127.0154245
서울신방학초등학교,초등학교,공립,서울특별시북부교육지원청,37.66668425,127.0289181
서울신상계초등학교,초등학교,공립,서울특별시북부교육지원청,37.66751782,127.0758263
서울우장초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54963819,126.8459842
서울개봉초등학교,초등학교,공립,서울특별시남부교육지원청,37.48952491,126.857976
이화여자대학교사범대학부속초등학교,초등학교,사립,서울특별시서부교육지원청,37.56115022,126.9427504
동광초등학교,초등학교,사립,서울특별시남부교육지원청,37.45199688,126.9158199
서울대학교사범대학부설초등학교,초등학교,국립,서울특별시중부교육지원청,37.5775997,127.0042955
서울중계초등학교,초등학교,공립,서울특별시북부교육지원청,37.65784243,127.0733117
서울염리초등학교,초등학교,공립,서울특별시서부교육지원청,37.54271029,126.945999
서울강서초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52241272,126.8409879
서울용동초등학교,초등학교,공립,서울특별시북부교육지원청,37.64108381,127.0690818
서울방현초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.47650298,126.9900734
서울중현초등학교,초등학교,공립,서울특별시북부교육지원청,37.63251462,127.0659521
서울금천초등학교,초등학교,공립,서울특별시남부교육지원청,37.45481033,126.9128749
서울윤중초등학교,초등학교,공립,서울특별시남부교육지원청,37.51964164,126.9225908
서울봉천초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.4832696,126.9581884
서울중평초등학교,초등학교,공립,서울특별시북부교육지원청,37.63753357,127.0639651
서울자운초등학교,초등학교,공립,서울특별시북부교육지원청,37.65801094,127.0466811
서울신당초등학교,초등학교,공립,서울특별시중부교육지원청,37.56362621,127.0236731
서울면중초등학교,초등학교,공립,서울특별시동부교육지원청,37.58244179,127.0965509
서울아주초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50582689,127.075764
서울보라매초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.49585189,126.9161445
서울남천초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50144683,127.1507951
서울옥수초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54552939,127.0218696
서울거여초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50516942,127.1409011
서울신용산초등학교,초등학교,공립,서울특별시중부교육지원청,37.52062959,126.9753663
서울동일초등학교,초등학교,공립,서울특별시북부교육지원청,37.66649572,127.0523447
서울온곡초등학교,초등학교,공립,서울특별시북부교육지원청,37.66754054,127.0659829
서울구암초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48921747,126.9462717
서울도봉초등학교,초등학교,공립,서울특별시북부교육지원청,37.67996175,127.0382887
서울문성초등학교,초등학교,공립,서울특별시남부교육지원청,37.47491196,126.8994492
서울구로남초등학교,초등학교,공립,서울특별시남부교육지원청,37.48420602,126.8902182
서울영풍초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49622,127.1430148
서울삼광초등학교,초등학교,공립,서울특별시중부교육지원청,37.54775231,126.9765943
서울문정초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48907284,127.1290135
서울신계초등학교,초등학교,공립,서울특별시북부교육지원청,37.62979163,127.052769
서울광진초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54761146,127.0913325
서울광희초등학교,초등학교,공립,서울특별시중부교육지원청,37.56729928,127.0156879
서울신천초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.5140111,127.0950476
서울신서초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52055887,126.8623309
서울장수초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.5129972,126.8451597
서울거원초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48762503,127.144909
서울난향초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.46282189,126.9183368
서울잠원초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.501859,126.9980966
서울면남초등학교,초등학교,공립,서울특별시동부교육지원청,37.57725972,127.0876664
서울서정초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52345012,126.8672362
서울방일초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.4852056,126.998849
서울송정초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.56223089,126.8102813
서울신원초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52950283,126.829855
서울송천초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.6149052,127.0237354
서울신학초등학교,초등학교,공립,서울특별시북부교육지원청,37.66122045,127.0257213
청원초등학교,초등학교,사립,서울특별시북부교육지원청,37.66525155,127.0625329
서울숭신초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56781934,127.0278897
서울신영초등학교,초등학교,공립,서울특별시남부교육지원청,37.50100602,126.8960948
서울면일초등학교,초등학교,공립,서울특별시동부교육지원청,37.5920416,127.0997947
서울당서초등학교,초등학교,공립,서울특별시남부교육지원청,37.53202744,126.8998142
서울목동초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52280877,126.8721195
금성초등학교,초등학교,사립,서울특별시동부교육지원청,37.61531513,127.0898585
서울청량초등학교,초등학교,공립,서울특별시동부교육지원청,37.5923094,127.0559085
서울신답초등학교,초등학교,공립,서울특별시동부교육지원청,37.57270461,127.0429617
서울신림초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.47711985,126.9268767
서울창경초등학교,초등학교,공립,서울특별시북부교육지원청,37.65660218,127.0346025
서울하늘초등학교,초등학교,공립,서울특별시서부교육지원청,37.5858088,126.8808619
서울사당초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.47383628,126.9733501
서울답십리초등학교,초등학교,공립,서울특별시동부교육지원청,37.56880432,127.055427
서울문덕초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48518009,127.127729
서울은로초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50314888,126.9599535
서울원당초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48128046,126.9562493
서울송화초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.56815047,126.8180329
서울왕북초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48632828,127.0860547
서울역삼초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49316528,127.0326527
서울삼릉초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.51325992,127.0469495
서울용곡초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56710862,127.088453
서울수색초등학교,초등학교,공립,서울특별시서부교육지원청,37.58517215,126.8960121
서울서빙고초등학교,초등학교,공립,서울특별시중부교육지원청,37.52206892,126.9923004
서울은진초등학교,초등학교,공립,서울특별시서부교육지원청,37.63303012,126.920996
서울본동초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50992508,126.9538508
서울남부초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48511944,126.9221838
서울봉현초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.49124068,126.9555874
서울삼정초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.58050843,126.8104937
서울덕의초등학교,초등학교,공립,서울특별시남부교육지원청,37.50605683,126.857346
서울대도초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49260076,127.0533774
서울신동초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.51713004,127.0113904
서울창림초등학교,초등학교,공립,서울특별시북부교육지원청,37.64323708,127.0416041
서울연지초등학교,초등학교,공립,서울특별시북부교육지원청,37.63319251,127.0595343
서울보광초등학교,초등학교,공립,서울특별시중부교육지원청,37.53254047,126.9963946
서울가양초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.56221719,126.8585216
서울종암초등학교,초등학교,공립,서울특별시동부교육지원청,37.58230741,127.0318564
서울을지초등학교,초등학교,공립,서울특별시북부교육지원청,37.65058885,127.0730918
서울상수초등학교,초등학교,공립,서울특별시북부교육지원청,37.65110502,127.0647586
서울숭인초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.6091602,127.0382341
서울일신초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.59881357,127.0401072
서울묵현초등학교,초등학교,공립,서울특별시동부교육지원청,37.6090804,127.0736243
서울상계초등학교,초등학교,공립,서울특별시북부교육지원청,37.65962546,127.066495
서울선유초등학교,초등학교,공립,서울특별시남부교육지원청,37.53287919,126.8927768
서울신중초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48015788,127.0093433
서울숭곡초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.60840947,127.0328151
서울서신초등학교,초등학교,공립,서울특별시서부교육지원청,37.59229405,126.9073823
서울금산초등학교,초등학교,공립,서울특별시남부교육지원청,37.44144269,126.9080871
서울화곡초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54366962,126.8464717
서울금동초등학교,초등학교,공립,서울특별시남부교육지원청,37.44773848,126.9163989
성신초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.59462313,127.0231285
서울두산초등학교,초등학교,공립,서울특별시남부교육지원청,37.46754839,126.8909461
서울방화초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.56870373,126.8074982
서울대동초등학교,초등학교,공립,서울특별시남부교육지원청,37.49370503,126.9001194
서울영동초등학교,초등학교,공립,서울특별시남부교육지원청,37.52700691,126.9077034
서울방이초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.51343915,127.1204994
서울미아초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61058761,127.0216444
은석초등학교,초등학교,사립,서울특별시동부교육지원청,37.57855999,127.0757616
서울영희초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.4923004,127.0811328
서울용산초등학교,초등학교,공립,서울특별시중부교육지원청,37.53561344,126.9725506
서울버들초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.51028143,127.0889992
서울청담초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.52828187,127.045153
서울배봉초등학교,초등학교,공립,서울특별시동부교육지원청,37.58008416,127.0668719
서울면북초등학교,초등학교,공립,서울특별시동부교육지원청,37.59441816,127.1035478
서울관악초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48102565,126.9425545
서울미동초등학교,초등학교,공립,서울특별시서부교육지원청,37.56335057,126.9658506
서울은천초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.4865852,126.9426791
서울양화초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.5436693,126.873986
서울청파초등학교,초등학교,공립,서울특별시중부교육지원청,37.5473049,126.9635439
서울대모초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48059845,127.0859938
경희초등학교,초등학교,사립,서울특별시동부교육지원청,37.59394914,127.054891
서울신남성초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.48815254,126.96487
서울선곡초등학교,초등학교,공립,서울특별시북부교육지원청,37.61869442,127.0578029
서울원명초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.50079587,127.0167076
서울도림초등학교,초등학교,공립,서울특별시남부교육지원청,37.50750302,126.9072907
서울백산초등학교,초등학교,공립,서울특별시남부교육지원청,37.44673975,126.905146
서울삼육초등학교,초등학교,사립,서울특별시동부교육지원청,37.5887715,127.0471713
서울소의초등학교,초등학교,공립,서울특별시서부교육지원청,37.55278186,126.9606556
서울성산초등학교,초등학교,공립,서울특별시서부교육지원청,37.55342789,126.9109504
서울개화초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.57394373,126.8046464
서울미성초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.47833997,126.9123923
서울대영초등학교,초등학교,공립,서울특별시남부교육지원청,37.50267937,126.9063367
