학교명,학교급구분,설립형태,교육지원청명,위도,경도,2008년 학생수,2009년 학생수,2010년 학생수,2011년 학생수,2012년 학생수,2013년 학생수,2014년 학생수,2015년 학생수,2016년 학생수,2017년 학생수,2018년 학생수,2019년 학생수,2020년 학생수,2021년 학생수,2022년 학생수
서울마천초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49550545,127.1526295,1386,1282,1209,1278,1281,1219,1180,1130,1078,1033,1032,995,912,883,884
서울잠일초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.51474166,127.0816362,0,1579,1721,1820,1868,1818,1813,1784,1800,1818,1855,1912,1895,1800,1742
서울명신초등학교,초등학교,공립,서울특별시중부교육지원청,37.58146865,127.0146229,400,421,424,419,389,395,385,413,402,397,383,392,369,336,307
서울서원초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.5024389,127.0146195,1014,936,881,1006,1014,1013,1074,1052,1020,1008,982,1206,1281,1346,1524
서울위례솔초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48663746,127.1509109,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,762
서울영화초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50914588,126.9336276,1117,1077,1013,920,866,740,661,619,555,510,493,487,490,481,436
서울자곡초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.47219072,127.0996665,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,471,536,559,626,698,664,672,647
서울한남초등학교,초등학교,공립,서울특별시중부교육지원청,37.53920365,127.0055998,639,582,520,484,432,385,362,341,316,304,314,307,284,279,295
서울공진초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55780477,126.8226104,303,260,218,186,172,140,125,593,664,934,1252,1450,1666,1749,1866
서울신성초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.47200331,126.9367542,1090,993,895,819,796,750,729,737,706,697,679,645,605,553,554
서울논현초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.5084232,127.0262229,709,586,512,469,433,396,380,359,346,356,347,339,309,290,266
서울구룡초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.48119739,127.0517714,1255,1106,967,854,763,641,599,532,491,468,486,492,504,733,745
서울독립문초등학교,초등학교,공립,서울특별시중부교육지원청,37.57421553,126.9599722,738,710,671,643,585,521,463,436,420,437,476,502,496,487,468
서울신내초등학교,초등학교,공립,서울특별시동부교육지원청,37.60493422,127.1001285,894,825,906,900,870,867,905,954,982,971,993,956,885,785,705
서울중곡초등학교,초등학교,공립,서울특별시동부교육지원청,37.57489173,127.083439,1902,1784,1737,1605,1453,1302,1249,1205,1125,1082,1044,982,934,855,842
서울전농초등학교,초등학교,공립,서울특별시동부교육지원청,37.57473031,127.0543331,1100,876,687,606,527,488,653,639,640,665,743,901,927,966,1036
서울잠실초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.52010753,127.1113114,0,998,1113,1147,1142,1131,1161,1123,1151,1183,1262,1227,1100,1123,1095
서울신곡초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53909546,126.8560096,1391,1292,1185,1061,1002,958,903,836,779,784,791,790,734,678,657
서울불광초등학교,초등학교,공립,서울특별시서부교육지원청,37.61342945,126.9307187,1986,1886,1729,1452,1338,1134,1073,996,981,957,949,844,804,773,733
상명대학교사범대학부속초등학교,초등학교,사립,서울특별시중부교육지원청,37.60044056,126.9567149,370,369,389,386,380,369,357,337,341,339,308,293,289,324,332
서울면동초등학교,초등학교,공립,서울특별시동부교육지원청,37.58535152,127.0865922,2156,2018,1801,1607,1470,1319,1229,1145,1099,1052,1001,975,946,1007,1019
서울영도초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53596257,126.871927,1945,1825,1763,1671,1570,1424,1327,1256,1209,1187,1179,1205,1211,1220,1188
서울가동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49741227,127.1300159,1594,1404,1309,1244,1106,1037,1026,983,950,956,987,947,900,895,853
서울미래초등학교,초등학교,공립,서울특별시남부교육지원청,37.50510665,126.8880137,856,823,798,746,713,701,657,649,630,630,601,604,565,559,551
서울월촌초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54069543,126.876258,1470,1348,1312,1321,1259,1184,1224,1260,1273,1224,1221,1192,1141,1116,1052
서울은정초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51112797,126.8670434,674,599,594,533,474,401,353,327,307,314,304,324,346,337,346
서울오금초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50886634,127.1323312,1208,1122,1035,902,804,731,667,611,576,583,633,591,617,625,654
서울신길초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.51087166,126.9267292,1710,1575,1556,1491,1437,1370,1336,1351,1318,1368,1349,1268,1214,1135,1097
서울대곡초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49471064,127.0650265,1515,1440,1405,1297,1159,1070,1068,1108,1082,1103,1161,1226,1290,1221,1209
서울오륜초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.51242411,127.1345763,678,623,592,579,576,560,585,610,615,663,677,674,661,610,527
서울개명초등학교,초등학교,공립,서울특별시남부교육지원청,37.48303904,126.8509791,779,734,697,665,627,567,672,688,680,641,649,458,401,330,322
서울신강초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52584419,126.8422639,1058,968,904,852,807,763,727,697,633,597,569,537,482,462,449
서울가산초등학교,초등학교,공립,서울특별시남부교육지원청,37.47816515,126.8963297,634,589,564,518,464,438,419,412,412,392,355,333,291,276,276
서울정곡초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.57695491,126.8189328,503,501,464,406,388,390,364,333,330,309,276,260,232,193,179
서울원묵초등학교,초등학교,공립,서울특별시동부교육지원청,37.61774881,127.0868142,1364,1288,1177,1134,1078,1047,1046,1003,1034,1067,1113,1135,1149,1126,1061
서울장평초등학교,초등학교,공립,서울특별시동부교육지원청,37.57399502,127.073891,1063,1041,1020,1019,1042,1064,1083,1148,1136,1153,1099,1111,1119,1116,1095
서울안천초등학교,초등학교,공립,서울특별시남부교육지원청,37.45874564,126.88839,848,812,702,648,575,508,447,399,362,310,292,286,283,274,248
서울대진초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.49701211,127.0780425,651,632,578,514,449,399,379,371,316,293,285,316,295,286,275
서울가주초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49656722,127.1292617,1471,1353,1280,1282,1205,1117,1071,1062,1018,966,927,920,865,845,830
서울염경초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55500067,126.8712046,1146,1148,1104,1098,1090,1082,1039,1038,987,978,974,954,999,952,909
서울개웅초등학교,초등학교,공립,서울특별시남부교육지원청,37.48857132,126.8499823,1349,1235,1111,1001,861,795,736,697,707,661,630,612,568,530,514
서울연촌초등학교,초등학교,공립,서울특별시북부교육지원청,37.63548118,127.0734648,1200,1083,1009,921,846,799,759,802,776,755,737,679,652,595,561
서울잠전초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50733791,127.0838499,1361,1244,1130,1028,903,810,763,746,715,711,705,685,619,566,525
서울교육대학교부설초등학교,초등학교,국립,서울특별시강남서초교육지원청,37.49074049,127.0154245,765,767,767,737,690,662,639,629,617,617,631,616,614,611,612
서울신방학초등학교,초등학교,공립,서울특별시북부교육지원청,37.66668425,127.0289181,1140,1046,956,882,784,718,606,558,481,444,441,417,413,391,376
서울신상계초등학교,초등학교,공립,서울특별시북부교육지원청,37.66751782,127.0758263,1059,972,899,832,766,663,610,558,494,444,405,385,427,414,396
서울우장초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.54963819,126.8459842,938,904,778,720,667,589,553,705,787,848,905,958,948,881,903
서울개봉초등학교,초등학교,공립,서울특별시남부교육지원청,37.48952491,126.857976,1669,1642,1549,1514,1426,1378,1368,1378,1335,1271,1278,1247,1137,1024,999
이화여자대학교사범대학부속초등학교,초등학교,사립,서울특별시서부교육지원청,37.56115022,126.9427504,717,720,702,688,672,655,640,623,622,624,624,624,623,624,624
동광초등학교,초등학교,사립,서울특별시남부교육지원청,37.45199688,126.9158199,465,476,492,521,525,480,462,464,461,416,398,384,385,410,452
서울대학교사범대학부설초등학교,초등학교,국립,서울특별시중부교육지원청,37.5775997,127.0042955,790,778,756,743,702,697,694,701,710,665,653,632,627,621,613
서울중계초등학교,초등학교,공립,서울특별시북부교육지원청,37.65784243,127.0733117,1460,1403,1329,1238,1154,1047,981,1036,994,963,928,950,940,944,884
서울염리초등학교,초등학교,공립,서울특별시서부교육지원청,37.54271029,126.945999,1067,1062,1030,1029,1024,1030,1097,1282,1315,1334,1367,1413,1415,1420,1446
서울강서초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52241272,126.8409879,1577,1482,1402,1375,1291,1223,1252,1258,1230,1211,1219,1243,1124,1082,1026
